 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1   1.0000000       1.5000000       1.2500000      0.50000000    
           2   1.0000000       1.2500000       1.1250000      0.25000000    
           3   1.1250000       1.2500000       1.1875000      0.12500000    
           4   1.1250000       1.1875000       1.1562500      6.25000000E-02
           5   1.1250000       1.1562500       1.1406250      3.12500000E-02
           6   1.1406250       1.1562500       1.1484375      1.56250000E-02
           7   1.1406250       1.1484375       1.1445313      7.81250000E-03
           8   1.1445313       1.1484375       1.1464844      3.90625000E-03
           9   1.1445313       1.1464844       1.1455078      1.95312500E-03
          10   1.1455078       1.1464844       1.1459961      9.76562500E-04
          11   1.1459961       1.1464844       1.1462402      4.88281250E-04
          12   1.1459961       1.1462402       1.1461182      2.44140625E-04
          13   1.1461182       1.1462402       1.1461792      1.22070313E-04
          14   1.1461792       1.1462402       1.1462097      6.10351563E-05
          15   1.1461792       1.1462097       1.1461945      3.05175781E-05
          16   1.1461792       1.1461945       1.1461868      1.52587891E-05
          17   1.1461868       1.1461945       1.1461906      7.62939453E-06
          18   1.1461906       1.1461945       1.1461926      3.81469727E-06
          19   1.1461926       1.1461945       1.1461935      1.90734863E-06
          20   1.1461926       1.1461935       1.1461930      9.53674316E-07
          21   1.1461930       1.1461935       1.1461933      4.76837158E-07
          22   1.1461930       1.1461935       1.1461933      4.76837158E-07
          23   1.1461930       1.1461935       1.1461933      4.76837158E-07
          24   1.1461930       1.1461935       1.1461933      4.76837158E-07
          25   1.1461930       1.1461935       1.1461933      4.76837158E-07
          26   1.1461930       1.1461935       1.1461933      4.76837158E-07
          27   1.1461930       1.1461935       1.1461933      4.76837158E-07
          28   1.1461930       1.1461935       1.1461933      4.76837158E-07
          29   1.1461930       1.1461935       1.1461933      4.76837158E-07
          30   1.1461930       1.1461935       1.1461933      4.76837158E-07
          31   1.1461930       1.1461935       1.1461933      4.76837158E-07
          32   1.1461930       1.1461935       1.1461933      4.76837158E-07
          33   1.1461930       1.1461935       1.1461933      4.76837158E-07
          34   1.1461930       1.1461935       1.1461933      4.76837158E-07
          35   1.1461930       1.1461935       1.1461933      4.76837158E-07
          36   1.1461930       1.1461935       1.1461933      4.76837158E-07
          37   1.1461930       1.1461935       1.1461933      4.76837158E-07
          38   1.1461930       1.1461935       1.1461933      4.76837158E-07
          39   1.1461930       1.1461935       1.1461933      4.76837158E-07
          40   1.1461930       1.1461935       1.1461933      4.76837158E-07
          41   1.1461930       1.1461935       1.1461933      4.76837158E-07
          42   1.1461930       1.1461935       1.1461933      4.76837158E-07
          43   1.1461930       1.1461935       1.1461933      4.76837158E-07
          44   1.1461930       1.1461935       1.1461933      4.76837158E-07
          45   1.1461930       1.1461935       1.1461933      4.76837158E-07
          46   1.1461930       1.1461935       1.1461933      4.76837158E-07
          47   1.1461930       1.1461935       1.1461933      4.76837158E-07
          48   1.1461930       1.1461935       1.1461933      4.76837158E-07
          49   1.1461930       1.1461935       1.1461933      4.76837158E-07
          50   1.1461930       1.1461935       1.1461933      4.76837158E-07
          51   1.1461930       1.1461935       1.1461933      4.76837158E-07
          52   1.1461930       1.1461935       1.1461933      4.76837158E-07
          53   1.1461930       1.1461935       1.1461933      4.76837158E-07
          54   1.1461930       1.1461935       1.1461933      4.76837158E-07
          55   1.1461930       1.1461935       1.1461933      4.76837158E-07
          56   1.1461930       1.1461935       1.1461933      4.76837158E-07
