 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1   1.5000000       1.0000000       1.2500000      0.50000000    
           2   1.2500000       1.0000000       1.1250000       1.1250000    
           3   1.2500000       1.1250000       1.1875000      0.59375000    
           4   1.1875000       1.1250000       1.1562500      0.28906250    
           5   1.1562500       1.1250000       1.1406250      0.14257813    
           6   1.1562500       1.1406250       1.1484375      7.17773438E-02
           7   1.1484375       1.1406250       1.1445313      3.57666016E-02
           8   1.1484375       1.1445313       1.1464844      1.79138184E-02
           9   1.1464844       1.1445313       1.1455078      8.94927979E-03
          10   1.1464844       1.1455078       1.1459961      4.47654724E-03
          11   1.1464844       1.1459961       1.1462402      2.23875046E-03
          12   1.1462402       1.1459961       1.1461182      1.11925602E-03
          13   1.1462402       1.1461182       1.1461792      5.59657812E-04
          14   1.1462402       1.1461792       1.1462097      2.79836357E-04
          15   1.1462097       1.1461792       1.1461945      1.39916316E-04
          16   1.1461945       1.1461792       1.1461868      6.99576922E-05
          17   1.1461945       1.1461868       1.1461906      3.49789625E-05
          18   1.1461945       1.1461906       1.1461926      1.74895104E-05
          19   1.1461945       1.1461926       1.1461935      8.74476245E-06
          20   1.1461935       1.1461926       1.1461930      4.37237941E-06
          21   1.1461935       1.1461930       1.1461933      2.18619016E-06
          22   1.1461933       1.1461930       1.1461931      1.09309497E-06
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1   1.2500000       1.1469461      0.50000000    
           2   1.1469461       1.1461933      0.10305393    
           3   1.1461933       1.1461933      7.52806664E-04
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1   1.5000000       1.0000000       1.1425654      0.50000000    
           2   1.0000000       1.1425654       1.1462342      0.50000000    
           3   1.1425654       1.1462342       1.1461931      0.14256537    
           4   1.1462342       1.1461931       1.1461931      3.66878510E-03
           5   1.1461931       1.1461931                 NaN  4.10079956E-05
