 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1   1.0000000       0.0000000      0.50000000      0.50000000    
           2   1.0000000      0.50000000      0.75000000      0.50000000    
           3  0.75000000      0.50000000      0.62500000      0.25000000    
           4  0.75000000      0.62500000      0.68750000      0.12500000    
           5  0.75000000      0.68750000      0.71875000      6.25000000E-02
           6  0.75000000      0.71875000      0.73437500      3.12500000E-02
           7  0.75000000      0.73437500      0.74218750      1.56250000E-02
           8  0.74218750      0.73437500      0.73828125      7.81250000E-03
           9  0.74218750      0.73828125      0.74023438      3.90625000E-03
          10  0.74023438      0.73828125      0.73925781      1.95312500E-03
          11  0.73925781      0.73828125      0.73876953      9.76562500E-04
          12  0.73925781      0.73876953      0.73901367      4.88281250E-04
          13  0.73925781      0.73901367      0.73913574      2.44140625E-04
          14  0.73913574      0.73901367      0.73907471      1.22070313E-04
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1  0.50000000      0.75522238           -Infinity
           2  0.75522238      0.73914164      0.25522238    
           3  0.73914164      0.73908514     -1.60807371E-02
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1   1.0000000       0.0000000      0.68507338           -Infinity
           2   0.0000000      0.68507338      0.75224859      -1.0000000    
           3  0.68507338      0.75224859      0.73892474      0.68507338    
           4  0.75224859      0.73892474      0.73908466      6.71752095E-02
           5  0.73892474      0.73908466      0.73908514     -1.33238435E-02
           6  0.73908466      0.73908514      0.73908514      1.59919262E-04
