 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1  0.50000000     -0.10000000      0.20000000      0.60000002    
           2  0.20000000     -0.10000000      5.00000007E-02  0.30000001    
           3  5.00000007E-02 -0.10000000     -2.50000004E-02  0.15000001    
           4  5.00000007E-02 -2.50000004E-02  1.25000002E-02  7.50000030E-02
           5  1.25000002E-02 -2.50000004E-02 -6.25000009E-03  3.75000015E-02
           6  1.25000002E-02 -6.25000009E-03  3.12500005E-03  1.87500007E-02
           7  3.12500005E-03 -6.25000009E-03 -1.56250002E-03  9.37500037E-03
           8  3.12500005E-03 -1.56250002E-03  7.81250012E-04  4.68750019E-03
           9  7.81250012E-04 -1.56250002E-03 -3.90625006E-04  2.34375009E-03
          10  7.81250012E-04 -3.90625006E-04  1.95312503E-04  1.17187505E-03
          11  1.95312503E-04 -3.90625006E-04 -9.76562515E-05  5.85937523E-04
          12  1.95312503E-04 -9.76562515E-05  4.88281257E-05  2.92968762E-04
          13  4.88281257E-05 -9.76562515E-05 -2.44140629E-05  1.46484381E-04
          14  4.88281257E-05 -2.44140629E-05  1.22070314E-05  7.32421904E-05
          15  1.22070314E-05 -2.44140629E-05 -6.10351572E-06  3.66210952E-05
          16  1.22070314E-05 -6.10351572E-06  3.05175786E-06  1.83105476E-05
          17  3.05175786E-06 -6.10351572E-06 -1.52587893E-06  9.15527380E-06
          18  3.05175786E-06 -1.52587893E-06  7.62939464E-07  4.57763690E-06
          19  7.62939464E-07 -1.52587893E-06 -3.81469732E-07  2.28881845E-06
          20  7.62939464E-07 -3.81469732E-07  1.90734866E-07  1.14440923E-06
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1  0.20000000     -2.93833464E-02   6.0000000    
           2 -2.93833464E-02 -4.11439105E-04  0.22938335    
           3 -4.11439105E-04 -6.17366709E-08  2.89719068E-02
           4 -6.17366709E-08  2.13202611E-09  4.11377376E-04
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1  0.50000000     -0.10000000      3.79088484E-02   6.0000000    
           2 -0.10000000      3.79088484E-02  1.80366042E-03  0.60000002    
           3  3.79088484E-02  1.80366042E-03 -3.53370669E-05  0.13790885    
           4  1.80366042E-03 -3.53370669E-05  2.33070061E-08  3.61051895E-02
           5 -3.53370669E-05  2.33070061E-08 -2.32874804E-08  1.83899747E-03
           6  2.33070061E-08 -2.32874804E-08   0.0000000      3.53603755E-05
