 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1  0.50000000     -0.10000000      0.20000000      0.20000000    
           2  0.50000000     -0.10000000      0.20000000      0.20000000    
           3  0.50000000     -0.10000000      0.20000000      0.10000000    
           4  0.50000000     -0.10000000      0.20000000      5.00000007E-02
           5  0.50000000     -0.10000000      0.20000000      2.50000004E-02
           6  0.50000000     -0.10000000      0.20000000      1.25000002E-02
           7  0.50000000     -0.10000000      0.20000000      6.25000009E-03
           8  0.50000000     -0.10000000      0.20000000      3.12500005E-03
           9  0.50000000     -0.10000000      0.20000000      1.56250002E-03
          10  0.50000000     -0.10000000      0.20000000      7.81250012E-04
          11  0.50000000     -0.10000000      0.20000000      3.90625006E-04
          12  0.50000000     -0.10000000      0.20000000      1.95312503E-04
          13  0.50000000     -0.10000000      0.20000000      9.76562515E-05
          14  0.50000000     -0.10000000      0.20000000      4.88281257E-05
          15  0.50000000     -0.10000000      0.20000000      2.44140629E-05
          16  0.50000000     -0.10000000      0.20000000      1.22070314E-05
          17  0.50000000     -0.10000000      0.20000000      6.10351572E-06
          18  0.50000000     -0.10000000      0.20000000      3.05175786E-06
          19  0.50000000     -0.10000000      0.20000000      1.52587893E-06
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1  0.20000000                 NaN   6.0000000    
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1  0.50000000     -0.10000000                 NaN   6.0000000    
           2 -0.10000000                 NaN             NaN   1.2000000    
