 Radio maximo elegido =    10.000000    
 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1   3.5000000       3.8000000       3.6500001       3.6500001    
           2   3.5000000       3.6500001       3.5750000      0.15000010    
           3   3.5750000       3.6500001       3.6125002      7.50000477E-02
           4   3.5750000       3.6125002       3.5937500      3.75001431E-02
           5   3.5937500       3.6125002       3.6031251      1.87501907E-02
           6   3.6031251       3.6125002       3.6078126      9.37509537E-03
           7   3.6031251       3.6078126       3.6054688      4.68754768E-03
           8   3.6054688       3.6078126       3.6066408      2.34389305E-03
           9   3.6054688       3.6066408       3.6060548      1.17206573E-03
          10   3.6054688       3.6060548       3.6057618      5.86032867E-04
          11   3.6054688       3.6057618       3.6056151      2.93016434E-04
          12   3.6054688       3.6056151       3.6055419      1.46389008E-04
 Rm/Rs es:    3.6055419    
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1   3.6500001       3.6054587      7.89473578E-02
           2   3.6054587       3.6056132      4.45413589E-02
           3   3.6056132       3.6056132      1.54495239E-04
 Rm/Rs es:    3.6056132    
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1   3.5000000       3.8000000       3.6072221      7.89473578E-02
           2   3.8000000       3.6072221       3.6055887      0.29999995    
           3   3.6072221       3.6055887       3.6056130      0.19277787    
           4   3.6055887       3.6056130       3.6056135      1.63340569E-03
 Rm/Rs es:    3.6056130    
