  
 Notacion:
  
      Ye,Xe = valor de Y/X experimental
      Ya = valor de Y ajustado
  
 En el intervalo(   1.0000000     ,   4.0000000     )
 usando          100  Puntos
 i  Xe   Ye  Ya   Ye-Ya
           1   2.6119118       15.447655       15.965389     -0.51773453    
           2   2.4037516       14.746544       15.133633     -0.38708878    
           3   1.8616364       13.202150       12.967476      0.23467445    
           4   1.5349827       11.598581       11.662250     -6.36682510E-02
           5   1.4611597       11.377406       11.367271      1.01346970E-02
           6   2.7149644       16.078817       16.377161     -0.29834366    
           7   3.4072168       18.675913       19.143229     -0.46731567    
           8   1.0991609       10.075508       9.9208145      0.15469360    
           9   2.6033494       16.092693       15.931176      0.16151714    
          10   2.4954402       15.916454       15.499998      0.41645622    
          11   3.8660820       20.847832       20.976740     -0.12890816    
          12   3.2448773       18.498926       18.494562      4.36401367E-03
          13   2.6637514       16.485971       16.172527      0.31344414    
          14   3.6722119       19.723419       20.202084     -0.47866440    
          15   2.8745472       16.551649       17.014814     -0.46316528    
          16   3.5261188       19.634174       19.618332      1.58424377E-02
          17   1.4793022       11.588358       11.439764      0.14859390    
          18   1.6382542       11.560715       12.074896     -0.51418114    
          19   3.1441293       17.959932       18.091997     -0.13206482    
          20   1.3912814       10.631968       11.088055     -0.45608711    
          21   1.2729709       10.509370       10.615315     -0.10594559    
          22   1.8237643       12.981830       12.816149      0.16568089    
          23   1.0089986       9.6249714       9.5605478      6.44235611E-02
          24   2.2428792       14.901953       14.490827      0.41112614    
          25   1.0806286       10.168681       9.8467636      0.32191753    
          26   3.1294587       18.044762       18.033377      1.13849640E-02
          27   3.8136916       20.346731       20.767401     -0.42066956    
          28   1.7197318       12.532846       12.400460      0.13238621    
          29   1.5426874       11.586749       11.693035     -0.10628605    
          30   1.9526184       13.511663       13.331017      0.18064594    
          31   3.6609716       20.554207       20.157171      0.39703560    
          32   2.9561758       17.586901       17.340982      0.24591827    
          33   1.4510045       11.066471       11.326694     -0.26022243    
          34   3.0440385       17.223619       17.692060     -0.46844101    
          35   2.1574440       14.365858       14.149449      0.21640873    
          36   2.1631753       13.980936       14.172350     -0.19141388    
          37   2.4992225       15.629528       15.515111      0.11441708    
          38   1.4425988       11.526806       11.293106      0.23369980    
          39   2.7615597       17.037275       16.563345      0.47393036    
          40   3.5367267       19.512247       19.660719     -0.14847183    
          41   2.7703252       16.328339       16.598370     -0.27003098    
          42   3.8662264       21.447454       20.977318      0.47013664    
          43   2.6684377       16.396412       16.191252      0.20516014    
          44   1.4444542       11.531173       11.300520      0.23065281    
          45   3.9499149       21.451178       21.311716      0.13946152    
          46   2.2262995       13.977884       14.424579     -0.44669437    
          47   1.4254591       11.333471       11.224621      0.10885048    
          48   2.6946955       16.663488       16.296171      0.36731720    
          49   1.7563787       12.298224       12.546892     -0.24866772    
          50   2.4655433       15.298584       15.380537     -8.19530487E-02
          51   2.3920915       15.334861       15.087042      0.24781895    
          52   3.8832853       21.010874       21.045481     -3.46069336E-02
          53   1.3780921       10.750143       11.035354     -0.28521061    
          54   1.5992713       11.671991       11.919130     -0.24713898    
          55   1.9577489       13.190260       13.351518     -0.16125774    
          56   2.8878074       16.717737       17.067799     -0.35006142    
          57   1.3801363       11.007062       11.043522     -3.64599228E-02
          58   2.9537611       17.712700       17.331333      0.38136673    
          59   2.8649020       17.368816       16.976274      0.39254189    
          60   3.4092188       18.697439       19.151230     -0.45379066    
          61   1.7435248       12.878752       12.495531      0.38322067    
          62   2.4292948       15.221703       15.235698     -1.39951706E-02
          63   2.1679418       14.188059       14.191396     -3.33690643E-03
          64   1.6097505       11.758035       11.961002     -0.20296764    
          65   1.0851254       10.327144       9.8647318      0.46241188    
          66   3.7050200       20.314056       20.333176     -1.91192627E-02
          67   2.2794917       14.384111       14.637121     -0.25300980    
          68   1.4260628       10.794984       11.227033     -0.43204880    
          69   3.8424599       21.317602       20.882353      0.43524933    
          70   2.2309387       13.997503       14.443115     -0.44561195    
          71   1.3935652       11.074967       11.097180     -2.22129822E-02
          72   3.6569448       20.011921       20.141081     -0.12915993    
          73   1.2765207       10.383164       10.629499     -0.24633503    
          74   1.4865956       11.860200       11.468906      0.39129353    
          75   1.2131906       10.382509       10.376449      6.06060028E-03
          76   2.0960164       13.848511       13.904000     -5.54895401E-02
          77   1.7591717       12.977667       12.558053      0.41961384    
          78   1.4053276       10.671394       11.144179     -0.47278500    
          79   3.3494592       19.159351       18.912445      0.24690628    
          80   2.3659217       15.233891       14.982474      0.25141716    
          81   2.0485721       14.022105       13.714424      0.30768108    
          82   2.3569002       14.552966       14.946426     -0.39346027    
          83   3.4268334       18.723200       19.221613     -0.49841309    
          84   3.7950227       20.868547       20.692804      0.17574310    
          85   2.9549377       17.688000       17.336035      0.35196495    
          86   1.6457450       12.212523       12.104828      0.10769558    
          87   3.0387764       17.891331       17.671034      0.22029686    
          88   3.7267652       20.632473       20.420065      0.21240807    
          89   1.7503762       13.000963       12.522908      0.47805500    
          90   3.5825789       20.218887       19.843933      0.37495422    
          91   2.4137866       14.888342       15.173731     -0.28538895    
          92   2.5178671       15.377790       15.589610     -0.21181965    
          93   2.8011806       16.555738       16.721661     -0.16592216    
          94   3.4526842       19.324011       19.324905     -8.94546509E-04
          95   3.2675302       18.661236       18.585077      7.61585236E-02
          96   2.3867342       15.392919       15.065636      0.32728291    
          97   3.8541021       20.828489       20.928871     -0.10038185    
          98   2.8982158       17.434374       17.109388      0.32498550    
          99   2.3179903       14.541279       14.790953     -0.24967384    
         100   3.4740918       19.311760       19.410444     -9.86843109E-02
    
 LA RECTA AJUSTADA ES:  Y =   3.9957504     *   X   +   5.5288415    
    
