 Metodo Biseccion
 N         x1          x2        Xm       presic¡on
           1   1.0000000       2.0000000       1.5000000       1.5000000    
           2   1.5000000       2.0000000       1.7500000      0.50000000    
           3   1.5000000       1.7500000       1.6250000      0.25000000    
           4   1.6250000       1.7500000       1.6875000      0.12500000    
           5   1.6250000       1.6875000       1.6562500      6.25000000E-02
           6   1.6562500       1.6875000       1.6718750      3.12500000E-02
           7   1.6718750       1.6875000       1.6796875      1.56250000E-02
           8   1.6718750       1.6796875       1.6757813      7.81250000E-03
           9   1.6757813       1.6796875       1.6777344      3.90625000E-03
          10   1.6777344       1.6796875       1.6787109      1.95312500E-03
          11   1.6777344       1.6787109       1.6782227      9.76562500E-04
          12   1.6782227       1.6787109       1.6784668      4.88281250E-04
          13   1.6782227       1.6784668       1.6783447      2.44140625E-04
          14   1.6783447       1.6784668       1.6784058      1.22070313E-04
          15   1.6783447       1.6784058       1.6783752      6.10351563E-05
          16   1.6783447       1.6783752       1.6783600      3.05175781E-05
          17   1.6783447       1.6783600       1.6783524      1.52587891E-05
 R/Rd es:    1.6783524    
                                                   
 Metodo Newton
 N  val inicial   val final       presic¡on
           1   1.5000000       1.6727704      0.50000000    
           2   1.6727704       1.6783408      0.17277038    
           3   1.6783408       1.6783470      5.57041168E-03
 R/Rd es:    1.6783470    
                                                   
 Metodo Secante
 N  val iniciales   val final       presic¡on
           1   1.0000000       2.0000000       1.7149559      0.50000000    
           2   2.0000000       1.7149559       1.6756722       1.0000000    
           3   1.7149559       1.6756722       1.6783670      0.28504407    
           4   1.6756722       1.6783670       1.6783470      3.92837524E-02
           5   1.6783670       1.6783470       1.6783470      2.69484520E-03
           6   1.6783470       1.6783470                 NaN  2.00271606E-05
 R/Rd es:    1.6783470    
